fecha_extraccion;comuna;tipo_propiedad;titulo;precio;moneda;dormitorios;banos;metros_utiles;caracteristicas_raw;ubicacion;url
2025-11-29 17:37:19;La Reina;casa;Casa En Venta En Condominio De 4 Dorm. Y Piscina En La Reina;15900;CLF;4 dormitorios;4 baños;200 m² útiles;4 dormitorios | 4 baños | 200 m² útiles;The British Royal School. Pintor Pacheco Altamirano Con Alcalde Eduardo Castillo Velasco, La Reina Alta, La Reina;
2025-11-29 17:37:19;La Reina;casa;Casa ¡2 Casas! - Parque Mahuida/la Reina Alta;21000;CLF;4 dormitorios;4 baños;310 m² útiles;4 dormitorios | 4 baños | 310 m² útiles;¡2 CASAS! - Parque Mahuida/La Reina Alta, La Reina Alta, La Reina;
2025-11-29 17:37:19;La Reina;casa;Casa ¡oportunidad! ¡bajó De Precio!/the Grange School;11990;CLF;3 dormitorios;3 baños;123 m² útiles;3 dormitorios | 3 baños | 123 m² útiles;¡OPORTUNIDAD! ¡BAJÓ DE PRECIO!/The Grange School, La Reina;
2025-11-29 17:37:19;La Reina;casa;Casa En Venta De 5d, 5b, 2e, La Reina Alta;15400;CLF;5 dormitorios;5 baños;168 m² útiles;5 dormitorios | 5 baños | 168 m² útiles;Alcalde Fernando Castillo Velasco / Julia Bernstein - La Reina Alta, La Reina Alta, La Reina;
2025-11-29 17:37:19;La Reina;casa;Casa En Condominio, 4d Y 4b , Colegio Andrée;11990;CLF;4 dormitorios;4 baños;138 m² útiles;4 dormitorios | 4 baños | 138 m² útiles;Carlos Silva Vildosola, 8400 - 8700, Carlos Ossandón, La Reina;
2025-11-29 17:37:19;La Reina;casa;Terreno Construccion En Venta La Reina Alta;26000;CLF;4 dormitorios;2 baños;87 m² útiles;4 dormitorios | 2 baños | 87 m² útiles;Álvaro Casanova, 0, La Reina Alta, La Reina;
2025-11-29 17:37:19;La Reina;casa;Duplex En Venta De 5 Dorm. En La Reina;17200;CLF;5 dormitorios;4 baños;243 m² útiles;5 dormitorios | 4 baños | 243 m² útiles;Plaza La Reina, La Reina Alta, La Reina;
2025-11-29 17:37:19;La Reina;casa;Casa En Venta En La Reina;17500;CLF;5 dormitorios;3 baños;192 m² útiles;5 dormitorios | 3 baños | 192 m² útiles;Julia Bernstein / La Reina Alta, La Reina Alta, La Reina;
2025-11-29 17:37:19;La Reina;casa;Casa En Condominio, La Reina Alta;22500;CLF;5 dormitorios;4 baños;240 m² útiles;5 dormitorios | 4 baños | 240 m² útiles;Álvaro Casanova, 900 - 1200, La Reina Alta, La Reina;
2025-11-29 17:37:19;La Reina;casa;Av. Echeñique | Ossandón | 5 Dormitorios | La Reina;14000;CLF;5 dormitorios;3 baños;186 m² útiles;5 dormitorios | 3 baños | 186 m² útiles;Juan Francisco González, La Reina, Carlos Ossandón, La Reina;
2025-11-29 17:37:19;La Reina;casa;"Condominio, Seguridad, 4 Dorm &#43; Estar &#43; Servicio &#4";13550;CLF;4 dormitorios;3 baños;160 m² útiles;4 dormitorios | 3 baños | 160 m² útiles;Vicente Perez Rosales/ Valenzuela Puelma, Carlos Ossandón, La Reina;
2025-11-29 17:37:19;La Reina;casa;Exclusivo Condominio En La  Reina Alta ;21490;CLF;4 dormitorios;4 baños;320 m² útiles;4 dormitorios | 4 baños | 320 m² útiles;Alvaro Casanova 900 - 1200, La Reina, La Reina Alta, La Reina;
2025-11-29 17:37:19;La Reina;casa;Casa En Venta 6d, 6b, La Reina Alta ;20500;CLF;6 dormitorios;6 baños;260 m² útiles;6 dormitorios | 6 baños | 260 m² útiles;Julia Bernstein 275, La Reina, Región Metropolitana, Chile, La Reina Alta, La Reina;
2025-11-29 17:37:19;La Reina;casa;Excelente Terreno Precioso Jardin Acogedora Segura Tranquila;16720;CLF;4 dormitorios;4 baños;149 m² útiles;4 dormitorios | 4 baños | 149 m² útiles;José Zapiola 7800 - 8100, La Reina, Carlos Ossandón, La Reina;
2025-11-29 17:37:19;La Reina;casa;Casa En Venta, Amplio Terreno, La Reina;10900;CLF;3 dormitorios;2 baños;129 m² útiles;3 dormitorios | 2 baños | 129 m² útiles;Francisco De Villagra, La Reina;
2025-11-29 17:37:19;La Reina;casa;Sala Estar Escritorio Quincho Ss Completos Varias Terrazas ;15600;CLF;3 dormitorios;3 baños;202 m² útiles;3 dormitorios | 3 baños | 202 m² útiles;Monseñor Edwards / Príncipe De Gales, Metro Príncipe De Gales - Country Club, La Reina;
2025-11-29 17:37:19;La Reina;casa;Casa En Venta En La Reina Alta Con Piscina Y Jardín;27900;CLF;4 dormitorios;3 baños;320 m² útiles;4 dormitorios | 3 baños | 320 m² útiles;María Monvel 600 - 900, La Reina, La Reina Alta, La Reina;
2025-11-29 17:37:19;La Reina;casa; Excelente Casa Condominio Mall Plaza Los Dominicos;25690;CLF;4 dormitorios;3 baños;257 m² útiles;4 dormitorios | 3 baños | 257 m² útiles;EXCELENTE CASA CONDOMINIO MALL PLAZA LOS DOMINICOS, La Reina Alta, La Reina;
2025-11-29 17:37:19;La Reina;casa;Venta Casa En Condominio 4hab 3ba La Reina;19800;CLF;4 dormitorios;3 baños;220 m² útiles;4 dormitorios | 3 baños | 220 m² útiles;Avenida Alcalde Fernando Castillo Velasco, 10400, La Reina Alta, La Reina;
2025-11-29 17:37:19;La Reina;casa;Amplia, Jardín, Piscina, Terraza, Home Office, Sala De Estar;14000;CLF;4 dormitorios;4 baños;181 m² útiles;4 dormitorios | 4 baños | 181 m² útiles;Oscar Castro 1391, 7860184 La Reina, Región Metropolitana, Chile, Carlos Ossandón, La Reina;
2025-11-29 17:37:19;La Reina;casa;Casa Amplia, Iluminada Y En Condominio. 4d/3b/2e;380000000;CLP;4 dormitorios;3 baños;138 m² útiles;4 dormitorios | 3 baños | 138 m² útiles;Salvador Izquierdo 1785, La Reina, Carlos Ossandón, La Reina;
2025-11-29 17:37:19;La Reina;casa;Hermosa Casa Condominio La Reina, Muy Seguro!;16100;CLF;5 dormitorios;4 baños;148 m² útiles;5 dormitorios | 4 baños | 148 m² útiles;La Reina Alta, La Reina;
2025-11-29 17:37:19;La Reina;casa;Venta Espectacular Casa Chilena En Condominio La Reina Alta;22950;CLF;5 dormitorios;5 baños;367 m² útiles;5 dormitorios | 5 baños | 367 m² útiles;María Monvel 1575, La Reina, La Reina Alta, La Reina;
2025-11-29 17:37:19;La Reina;casa;Casa En La Reina, Con Amplio Y Bello Jardín!!;14850;CLF;5 dormitorios;3 baños;192 m² útiles;5 dormitorios | 3 baños | 192 m² útiles;Valenzuela Llanos, La Reina, Carlos Ossandón, La Reina;
2025-11-29 17:37:19;La Reina;casa;Casa En Condominio Cerrado, Ubicado En La Reina Alta;17300;CLF;4 dormitorios;4 baños;160 m² útiles;4 dormitorios | 4 baños | 160 m² útiles;Alvaro Casanova 1021, La Reina, La Reina Alta, La Reina;
